customer_arrival_order,node,lat,lon,feasible,vehicle,capacity,customer_node,distance_to_depot,closest_customer_distance,mean_distance_to_depot,median_distance_to_depot,min_distance_to_depot,max_distance_to_depot,std_distance_to_depot,1st_quartile_distance_to_depot,3rd_quartile_distance_to_depot,mean_closest_customer_distance,median_closest_customer_distance,min_closest_customer_distance,max_closest_customer_distance,std_closest_customer_distance,1st_quartile_closest_customer_distance,3rd_quartile_closest_customer_distance
1,249112044,48.2603364,16.4707081,1,3,30,249112044,2.745169,0,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
2,252944666,48.2502098,16.4803054,1,3,30,252944666,2.783655,0,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
3,61925803,48.2356147,16.3247177,1,3,30,61925803,11.206909,0.243265,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
4,60572094,48.2129051,16.2319985,1,3,30,60572094,20.10756,0.099919,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
5,106002460,48.2233666,16.3083212,1,3,30,106002460,13.198239,0.512541,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
6,256666740,48.2086642,16.3457329,1,3,30,256666740,10.611566,2.341056,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
7,274992582,48.2431261,16.3061069,1,3,30,274992582,12.771897,1.531163,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
8,322839364,48.2865904,16.4234719,1,3,30,322839364,6.313218,1.370674,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
9,253438091,48.1653108,16.3334255,1,3,30,253438091,14.303081,2.583018,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
10,321723620,48.2958529,16.3863099,1,3,30,321723620,8.678538,2.043114,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
11,3621599903,48.1535008,16.3975152,1,3,30,3621599903,13.642364,4.039256,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
12,291368015,48.2346017,16.2864058,1,3,30,291368015,15.184314,2.002417,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
13,100866877,48.1845187,16.3423163,0,3,30,100866877,12.145429,2.88925,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
14,321940562,48.2436632,16.4458721,1,3,30,321940562,0.977825,3.466334,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
15,6407670021,48.1422071,16.2890502,0,3,30,6407670021,18.612247,1.142118,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
16,87887415,48.1486305,16.2838536,0,3,30,87887415,18.864072,1.142367,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
17,84749567,48.1628445,16.264517,0,3,30,84749567,19.193869,1.788938,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
18,288640046,48.1803829,16.2697559,0,3,30,288640046,17.856548,1.349637,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
19,59952529,48.2803137,16.4418009,0,3,30,59952529,5.971321,2.50285,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
20,252944666,48.2502098,16.4803054,0,3,30,252944666,2.783655,0,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
21,82459084,48.280174,16.4126956,0,3,30,82459084,5.61628,0.858329,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
22,75273216,48.2273999,16.418275,0,3,30,75273216,4.037766,3.51664,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
23,162766277,48.2256297,16.3043281,0,3,30,162766277,13.496016,0.480923,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
24,16055032,48.2024079,16.3253702,0,3,30,16055032,12.431724,2.584088,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
25,538375632,48.2082478,16.5069945,0,3,30,538375632,7.607568,2.86389,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
26,83452556,48.2752769,16.4066402,0,3,30,83452556,5.402981,1.335878,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
27,66917920,48.2555556,16.3926906,0,3,30,66917920,4.716594,3.124589,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
28,127844196,48.2392534,16.4989528,0,3,30,127844196,4.893178,1.807483,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
29,381002,48.150576,16.2688685,0,3,30,381002,19.652799,1.249456,10.47212829,10.516093,0.977825,20.10756,5.568860497,5.662638,14.542595,1.876630627,1.788938,0,5.512716,1.314429762,0.808461,2.87657
